id,5BZCATName,SourceClassification,R.A.(J2000),Dec.(J2000),Redshift
1731,5BZBJ1136+7009,BLLac,174.11004,70.15758,0.045
1732,5BZQJ1136+3407,QSORLoudflatradiosp.,174.11396,34.12764,1.332
1733,5BZBJ1136+6737,BLLac,174.12542,67.61789,0.136
1734,5BZGJ1136+2550,BLLac-galaxydominated,174.20875,25.84786,0.156
1735,5BZBJ1137-1710,BLLac,174.48175,-17.17836,0.6
1736,5BZBJ1138+4113,BLLac,174.55062,41.23133,0.574
1737,5BZQJ1138+4745,QSORLoudflatradiosp.,174.58808,47.75428,0.77
1738,5BZQJ1139-1552,QSORLoudflatradiosp.,174.87325,-15.88103,2.625
1739,5BZBJ1140+1528,BLLac,175.09783,15.46936,0.244
1740,5BZQJ1140+4622,QSORLoudflatradiosp.,175.19962,46.36803,0.115
1741,5BZBJ1142+1547,BLLac,175.53225,15.79839,
1742,5BZGJ1143+7304,BLLac-galaxydominated,175.77062,73.06922,0.123
1743,5BZQJ1143+1843,QSORLoudflatradiosp.,175.77513,18.72856,0.374
1744,5BZBJ1143+6122,BLLac,175.8005,61.36967,
1745,5BZQJ1143+6633,QSORLoudflatradiosp.,175.92333,66.55867,2.328
1746,5BZBJ1143+5102,BLLac,175.99,51.04358,
1747,5BZQJ1145+0455,QSORLoudflatradiosp.,176.33883,4.92408,1.342
1748,5BZQJ1145-2250,QSORLoudflatradiosp.,176.34187,-22.84203,1.141
1749,5BZGJ1145-0340,BLLac-galaxydominated,176.39629,-3.66714,0.167
1750,5BZQJ1145-6954,QSORLoudflatradiosp.,176.47342,-69.9005,0.244
1751,5BZQJ1146-2447,QSORLoudflatradiosp.,176.53375,-24.79247,1.94
1752,5BZQJ1146-2859,QSORLoudflatradiosp.,176.60913,-28.98847,0.45
1753,5BZQJ1146+5848,QSORLoudflatradiosp.,176.61212,58.80953,1.982
1754,5BZQJ1146+5356,QSORLoudflatradiosp.,176.68417,53.94531,2.201
1755,5BZQJ1146+3958,QSORLoudflatradiosp.,176.74292,39.97619,1.089
1756,5BZBJ1147-3812,BLLac,176.75571,-38.20306,1.048
1757,5BZGJ1147+3501,BLLac-galaxydominated,176.84221,35.01875,0.063
1758,5BZQJ1147-6753,QSORLoudflatradiosp.,176.88917,-67.89494,0.21
1759,5BZQJ1147-0724,QSORLoudflatradiosp.,176.96479,-7.41142,1.342
1760,5BZGJ1147+2205,BLLac-galaxydominated,176.97975,22.09492,0.276
1761,5BZQJ1147+2635,QSORLoudflatradiosp.,176.999,26.59508,0.867
1762,5BZQJ1148+5654,QSORLoudflatradiosp.,177.01329,56.90325,0.451
1763,5BZBJ1148+1840,BLLac,177.15738,18.66917,
1764,5BZGJ1148+5924,BLLac-galaxydominated,177.20983,59.41567,0.011
1765,5BZQJ1148-0404,QSORLoudflatradiosp.,177.23283,-4.06933,0.34
1766,5BZQJ1148+5254,QSORLoudflatradiosp.,177.23571,52.90703,1.632
1767,5BZBJ1149+6243,BLLac,177.35892,62.72569,
1768,5BZBJ1149+2439,BLLac,177.37646,24.65744,0.402
1769,5BZBJ1149+1035,BLLac,177.48196,10.58558,
1770,5BZGJ1150+5528,BLLac-galaxydominated,177.50033,55.47261,0.139
1771,5BZQJ1150+4332,QSORLoudflatradiosp.,177.56917,43.53497,3.037
1772,5BZBJ1150+2417,BLLac,177.58004,24.29828,
1773,5BZQJ1150+0156,QSORLoudflatradiosp.,177.60329,1.93897,0.706
1774,5BZQJ1150-1930,QSORLoudflatradiosp.,177.63138,-19.51375,2.489
1775,5BZBJ1150+4154,BLLac,177.64488,41.91114,
1776,5BZQJ1150-0023,QSORLoudflatradiosp.,177.68279,-0.39839,1.976
1777,5BZQJ1151-1723,QSORLoudflatradiosp.,177.76333,-17.39994,1.751
1778,5BZBJ1151+5859,BLLac,177.85283,58.98822,
1779,5BZBJ1151-1347,BLLac,177.87483,-13.79742,
1780,5BZBJ1152+2837,BLLac,178.04463,28.62256,0.441
1781,5BZQJ1152-0841,QSORLoudflatradiosp.,178.07171,-8.68425,2.37
1782,5BZBJ1152+1531,BLLac,178.09246,15.53003,
1783,5BZQJ1152+3209,QSORLoudflatradiosp.,178.11454,32.16644,0.374
1784,5BZQJ1152+4939,QSORLoudflatradiosp.,178.13696,49.66078,1.093
1785,5BZQJ1152+3307,QSORLoudflatradiosp.,178.21629,33.12189,1.4
1786,5BZQJ1152-0519,QSORLoudflatradiosp.,178.23121,-5.33014,1.983
1787,5BZQJ1153+8058,QSORLoudflatradiosp.,178.30208,80.97478,1.25
1788,5BZQJ1153+0914,QSORLoudflatradiosp.,178.30229,9.23397,0.696
1789,5BZUJ1153+5831,BlazarUncertaintype,178.34992,58.52739,0.202
1790,5BZQJ1153+4931,QSORLoudflatradiosp.,178.35196,49.51911,0.334
1791,5BZQJ1153+3617,QSORLoudflatradiosp.,178.36125,36.29064,1.358
1792,5BZBJ1153+3823,BLLac,178.42879,38.38497,0.41
1793,5BZQJ1153+4036,QSORLoudflatradiosp.,178.47775,40.61461,0.916
1794,5BZQJ1154+5934,QSORLoudflatradiosp.,178.50571,59.58172,0.871
1795,5BZBJ1154-0010,BLLac,178.519,-0.16942,0.254
1796,5BZQJ1154+6022,QSORLoudflatradiosp.,178.519,60.37247,1.12
1797,5BZBJ1154-3242,BLLacCandidate,178.52579,-32.71203,
1798,5BZGJ1154+0238,BLLac-galaxydominated,178.53867,2.63753,0.211
1799,5BZGJ1154+1225,BLLac-galaxydominated,178.54342,12.41936,0.081
1800,5BZQJ1155-3107,QSORLoudflatradiosp.,178.76317,-31.13297,4.3
1801,5BZBJ1155+0926,BLLac,178.82613,9.44478,
1802,5BZQJ1155+0214,QSORLoudflatradiosp.,178.92725,2.23642,0.873
1803,5BZUJ1155-8101,BlazarUncertaintype,178.94225,-81.02169,1.395
1804,5BZGJ1156+4238,BLLac-galaxydominated,179.194,42.63539,0.172
1805,5BZGJ1157+2822,BLLac-galaxydominated,179.28971,28.36686,0.3
1806,5BZGJ1158+2450,BLLac-galaxydominated,179.60746,24.83833,0.202
1807,5BZQJ1158+4825,QSORLoudflatradiosp.,179.61154,48.42117,2.028
1808,5BZBJ1158+0937,BLLac,179.72654,9.61992,
1809,5BZUJ1159-2228,BlazarUncertaintype,179.79696,-22.47692,0.565
1810,5BZUJ1159-0940,BlazarUncertaintype,179.80296,-9.68111,
1811,5BZQJ1159-2142,QSORLoudflatradiosp.,179.83929,-21.71247,0.617
1812,5BZQJ1159+2914,QSORLoudflatradiosp.,179.88262,29.2455,0.729
1813,5BZQJ1159-2148,QSORLoudflatradiosp.,179.96629,-21.81492,0.927
1814,5BZGJ1200+4758,BLLac-galaxydominated,180.195,47.97453,0.27
1815,5BZGJ1201-0007,BLLac-galaxydominated,180.27579,-0.11711,0.165
1816,5BZQJ1201+0900,QSORLoudflatradiosp.,180.36417,9.01119,1.016
1817,5BZGJ1201-0011,BLLac-galaxydominated,180.43192,-0.18722,0.164
1818,5BZBJ1202+4444,BLLac,180.53608,44.73958,0.297
1819,5BZQJ1202+2756,QSORLoudflatradiosp.,180.64167,27.94056,0.672
1820,5BZQJ1202-0528,QSORLoudflatradiosp.,180.64258,-5.46736,0.381
1821,5BZBJ1202+3851,BLLac,180.73775,38.86317,
1822,5BZBJ1203+6031,BLLac,180.76462,60.52197,0.065
1823,5BZQJ1203+4803,QSORLoudflatradiosp.,180.87438,48.05378,0.817
1824,5BZBJ1203+5430,BLLac,180.88196,54.50247,0.478
1825,5BZQJ1203+4510,QSORLoudflatradiosp.,180.8975,45.18044,1.075
1826,5BZBJ1203+5819,BLLac,180.98058,58.32931,
1827,5BZBJ1204+1145,BLLac,181.0505,11.76539,0.296
1828,5BZGJ1204-0710,BLLac-galaxydominated,181.06942,-7.16914,0.184
1829,5BZQJ1204-5055,QSORLoudflatradiosp.,181.24546,-50.93239,1.083
1830,5BZQJ1205-2634,QSORLoudflatradiosp.,181.38837,-26.56792,0.789
1831,5BZQJ1205+0053,QSORLoudflatradiosp.,181.45204,0.89553,0.932
1832,5BZQJ1206+2822,QSORLoudflatradiosp.,181.58187,28.38183,1.507
1833,5BZBJ1206+0529,BLLac,181.74179,5.49783,
1834,5BZBJ1207+1715,BLLac,181.79154,17.26369,
1835,5BZBJ1207-1746,BLLacCandidate,181.79792,-17.76833,
1836,5BZQJ1207+1211,QSORLoudflatradiosp.,181.80258,12.19606,0.892
1837,5BZQJ1207+2754,QSORLoudflatradiosp.,181.86625,27.91633,2.18
1838,5BZQJ1207-0106,QSORLoudflatradiosp.,181.92367,-1.11019,1.006
1839,5BZBJ1208+3015,BLLac,182.018,30.264,
1840,5BZBJ1208-2937,BLLac,182.07504,-29.63331,0.249
1841,5BZUJ1208+6121,BlazarUncertaintype,182.15463,61.35181,0.275
1842,5BZBJ1208+1159,BLLac,182.15529,11.99383,0.369
1843,5BZQJ1208+5441,QSORLoudflatradiosp.,182.22604,54.69947,1.343
1844,5BZQJ1209-2406,QSORLoudflatradiosp.,182.26021,-24.10578,1.299
1845,5BZBJ1209-2032,BLLac,182.31087,-20.54417,0.404
1846,5BZBJ1209+4119,BLLac,182.34496,41.32817,
1847,5BZQJ1209-4016,QSORLoudflatradiosp.,182.39683,-40.27031,0.966
1848,5BZBJ1209+0210,BLLac,182.40967,2.17144,
1849,5BZQJ1209+2547,QSORLoudflatradiosp.,182.43788,25.78436,1.435
1850,5BZQJ1209+1810,QSORLoudflatradiosp.,182.46567,18.16856,0.846
1851,5BZGJ1210+0223,BLLac-galaxydominated,182.57379,2.39544,0.383
1852,5BZBJ1210+3929,BLLac,182.61113,39.48583,0.617
1853,5BZBJ1211+3900,BLLac,182.89267,39.01494,0.602
1854,5BZBJ1211+2242,BLLac,182.9945,22.709,0.453
1855,5BZBJ1213+5129,BLLac,183.25363,51.49331,
1856,5BZBJ1213-1003,BLLac,183.34558,-10.05703,
1857,5BZBJ1213-2618,BLLac,183.34583,-26.30194,0.278
1858,5BZQJ1213+1307,QSORLoudflatradiosp.,183.384,13.12239,1.139
1859,5BZQJ1213+0001,QSORLoudflatradiosp.,183.44808,0.025,0.961
1860,5BZBJ1213+6425,BLLac,183.45338,64.42225,
1861,5BZQJ1214+0829,QSORLoudflatradiosp.,183.74962,8.48958,2.359
1862,5BZBJ1215+5002,BLLac,183.75325,50.03767,
1863,5BZQJ1215+1654,QSORLoudflatradiosp.,183.76654,16.91053,1.132
1864,5BZBJ1215+3508,BLLac,183.78688,35.13706,0.882
1865,5BZQJ1215+4627,QSORLoudflatradiosp.,183.79146,46.45419,0.72
1866,5BZGJ1215+0732,BLLac-galaxydominated,183.79575,7.53464,0.136
1867,5BZQJ1215+6422,QSORLoudflatradiosp.,183.95379,64.37458,3.233
1868,5BZQJ1215+3448,QSORLoudflatradiosp.,183.98167,34.80422,0.857
1869,5BZBJ1216-0243,BLLacCandidate,184.01362,-2.71825,0.359
1870,5BZGJ1216+0929,BLLac-galaxydominated,184.02592,9.48594,0.094
1871,5BZQJ1216-1033,QSORLoudflatradiosp.,184.10167,-10.55433,0.636
1872,5BZBJ1216+0541,BLLac,184.20829,5.69353,
1873,5BZQJ1217+2925,QSORLoudflatradiosp.,184.28438,29.42597,0.974
1874,5BZQJ1217+5835,QSORLoudflatradiosp.,184.29588,58.59061,2.55
1875,5BZQJ1217+3305,QSORLoudflatradiosp.,184.38558,33.094,2.606
1876,5BZQJ1217+5155,QSORLoudflatradiosp.,184.40271,51.9195,2.224
1877,5BZBJ1217+3007,BLLac,184.467,30.11683,0.13
1878,5BZBJ1217-0029,BLLac,184.49471,-0.49619,0.419
1879,5BZBJ1218-0119,BLLac,184.64554,-1.33175,
1880,5BZQJ1219+4829,QSORLoudflatradiosp.,184.77671,48.49892,1.076
1881,5BZQJ1219+6600,QSORLoudflatradiosp.,184.89913,66.00883,1.266
1882,5BZBJ1219+0446,BLLac,184.93742,4.77289,
1883,5BZBJ1219-0314,BLLac,184.94046,-3.24,0.299
1884,5BZQJ1220+7105,QSORLoudflatradiosp.,185.01513,71.09197,0.451
1885,5BZBJ1220+3431,BLLac,185.03454,34.52269,
1886,5BZQJ1220+0203,QSORLoudflatradiosp.,185.0495,2.06172,0.24
1887,5BZBJ1220-0003,BLLac,185.05058,-0.05158,
1888,5BZQJ1220+3808,QSORLoudflatradiosp.,185.24679,38.14878,1.108
1889,5BZGJ1221+4742,BLLac-galaxydominated,185.28242,47.70792,0.21
1890,5BZBJ1221+3010,BLLac,185.34142,30.17697,0.184
1891,5BZQJ1221-0241,QSORLoudflatradiosp.,185.34975,-2.69711,0.665
1892,5BZQJ1221+4411,QSORLoudflatradiosp.,185.36267,44.19158,1.347
1893,5BZBJ1221+2813,BLLac,185.38204,28.23292,0.102
1894,5BZGJ1221+0821,BLLac-galaxydominated,185.38358,8.36228,0.132
1895,5BZBJ1222+3540,BLLac,185.54758,35.68286,
1896,5BZQJ1222+0413,QSORLoudflatradiosp.,185.59392,4.22103,0.966
1897,5BZQJ1222+2934,QSORLoudflatradiosp.,185.68008,29.57819,0.787
1898,5BZQJ1223+4611,QSORLoudflatradiosp.,185.91392,46.1885,1.012
1899,5BZBJ1223+8040,BLLac,185.91871,80.66786,
1900,5BZGJ1223+4650,BLLac-galaxydominated,185.97104,46.84692,0.261
1901,5BZQJ1223+0650,QSORLoudflatradiosp.,185.97758,6.83406,1.189
1902,5BZBJ1223+7953,BLLac,185.99258,79.89139,
1903,5BZBJ1224+2239,BLLac,186.00433,22.66081,0.428
1904,5BZQJ1224+5001,QSORLoudflatradiosp.,186.04129,50.03208,1.062
1905,5BZBJ1224+2436,BLLac,186.10075,24.60653,0.219
1906,5BZBJ1224+4335,BLLac,186.21462,43.58869,
1907,5BZQJ1224+0330,QSORLoudflatradiosp.,186.21842,3.51397,0.956
1908,5BZUJ1224-8313,BlazarUncertaintype,186.22658,-83.21947,
1909,5BZQJ1224+2122,QSORLoudflatradiosp.,186.22692,21.37956,0.434
1910,5BZUJ1225+4834,BlazarUncertaintype,186.27708,48.57644,0.647
1911,5BZBJ1225+7214,BLLacCandidate,186.30892,72.24669,0.114
1912,5BZGJ1226+2604,BLLac-galaxydominated,186.51717,26.07447,0.176
1913,5BZBJ1226+0638,BLLac,186.68412,6.64836,
1914,5BZBJ1226-1328,BLLac,186.72675,-13.47747,
1915,5BZQJ1226+4340,QSORLoudflatradiosp.,186.74129,43.68289,2.009
1916,5BZBJ1227-4436,BLLac,186.86117,-44.61064,
1917,5BZQJ1227+4932,QSORLoudflatradiosp.,186.98217,49.54889,1.348
1918,5BZBJ1228-0221,BLLac,187.03808,-2.36006,0.323
1919,5BZQJ1228+3128,QSORLoudflatradiosp.,187.10404,31.47711,2.195
1920,5BZQJ1228-0304,QSORLoudflatradiosp.,187.15383,-3.07753,1.804
1921,5BZQJ1228+3706,QSORLoudflatradiosp.,187.19758,37.10333,1.517
1922,5BZQJ1228+4858,QSORLoudflatradiosp.,187.21571,48.96703,1.719
1923,5BZQJ1229+0203,QSORLoudflatradiosp.,187.27792,2.05239,0.158
1924,5BZQJ1229+0423,QSORLoudflatradiosp.,187.31792,4.38917,1.027
1925,5BZBJ1230+2518,BLLac,187.55871,25.30197,0.135
1926,5BZUJ1230-3121,BlazarUncertaintype,187.68721,-31.35647,2.276
1927,5BZQJ1230-1139,QSORLoudflatradiosp.,187.7315,-11.65272,3.528
1928,5BZBJ1231+1421,BLLac,187.84958,14.35681,0.256
1929,5BZQJ1231+0418,QSORLoudflatradiosp.,187.86496,4.30053,1.03
1930,5BZBJ1231+6414,BLLac,187.88079,64.23842,0.163
1931,5BZBJ1231+2847,BLLac,187.93163,28.79714,
1932,5BZQJ1232-0224,QSORLoudflatradiosp.,188.00004,-2.40147,1.043
1933,5BZQJ1232+4821,QSORLoudflatradiosp.,188.14496,48.35917,1.588
1934,5BZQJ1233-0031,QSORLoudflatradiosp.,188.26692,-0.52619,0.471
1935,5BZBJ1233+1701,BLLac,188.27146,17.02592,
1936,5BZQJ1233-1025,QSORLoudflatradiosp.,188.30471,-10.42189,2.394
1937,5BZBJ1233-0144,BLLac,188.42221,-1.73992,
1938,5BZGJ1233+5026,BLLac-galaxydominated,188.45529,50.43967,0.207
1939,5BZQJ1234+4753,QSORLoudflatradiosp.,188.55554,47.89756,0.374
1940,5BZBJ1234-3856,BLLac,188.57146,-38.94308,0.236
1941,5BZBJ1234+3910,BLLac,188.66229,39.17967,0.584
1942,5BZGJ1234-2432,BLLac-galaxydominated,188.70721,-24.54247,0.182
1943,5BZQJ1235+3621,QSORLoudflatradiosp.,188.77421,36.35536,1.6
1944,5BZBJ1235-1403,BLLac,188.79662,-14.0565,0.407
1945,5BZGJ1235+1700,BLLac-galaxydominated,188.87021,17.01017,0.381
1946,5BZQJ1235+5228,QSORLoudflatradiosp.,188.87733,52.47436,1.653
1947,5BZBJ1236+3900,BLLac,189.09596,39.00031,0.389
1948,5BZBJ1237+3020,BLLac,189.27329,30.33478,
1949,5BZBJ1237+6258,BLLac,189.41283,62.97856,0.297
1950,5BZQJ1238+0723,QSORLoudflatradiosp.,189.51017,7.38939,1.172
1951,5BZQJ1238-1159,QSORLoudflatradiosp.,189.53083,-11.99,1.32
1952,5BZUJ1238+5325,BlazarUncertaintype,189.53237,53.43222,0.348
1953,5BZUJ1238-1959,BlazarUncertaintype,189.60158,-19.98714,
1954,5BZBJ1238+4431,BLLac,189.60842,44.52697,0.312
1955,5BZGJ1238+5406,BLLac-galaxydominated,189.63017,54.11442,0.224
1956,5BZBJ1239+4132,BLLac,189.84471,41.54767,
1957,5BZUJ1239+0730,BlazarUncertaintype,189.85246,7.50478,0.4
1958,5BZQJ1239+0443,QSORLoudflatradiosp.,189.8865,4.71811,1.761
1959,5BZQJ1239-1023,QSORLoudflatradiosp.,189.92942,-10.39131,0.751
1960,5BZBJ1241+3400,BLLac,190.28929,34.01058,
1961,5BZBJ1241+3440,BLLac,190.4225,34.67531,
1962,5BZBJ1241+0636,BLLac,190.45125,6.60028,
1963,5BZBJ1241-1455,BLLac,190.45583,-14.93278,
1964,5BZBJ1242-1653,BLLac,190.58525,-16.88444,
1965,5BZBJ1242+7634,BLLacCandidate,190.63463,76.57158,
1966,5BZQJ1242+3751,QSORLoudflatradiosp.,190.71404,37.85,1.317
1967,5BZGJ1243+5212,BLLac-galaxydominated,190.78742,52.21253,0.2
1968,5BZQJ1243-2943,QSORLoudflatradiosp.,190.79442,-29.72292,1.135
1969,5BZBJ1243+3627,BLLac,190.80292,36.46219,
1970,5BZQJ1243-3941,QSORLoudflatradiosp.,190.89233,-39.69792,1.387
1971,5BZGJ1243-0613,BLLac-galaxydominated,190.89379,-6.2225,0.139
1972,5BZQJ1243+7442,QSORLoudflatradiosp.,190.93762,74.71031,0.782
1973,5BZQJ1243+4043,QSORLoudflatradiosp.,190.98242,40.73292,1.518
1974,5BZBJ1244+0444,BLLac,191.10538,4.74989,0.4
1975,5BZBJ1244+1616,BLLac,191.18479,16.27269,0.456
1976,5BZBJ1245+5709,BLLac,191.29167,57.16511,
1977,5BZBJ1245+0228,BLLac,191.39079,2.47367,
1978,5BZQJ1245+4346,QSORLoudflatradiosp.,191.49996,43.77414,1.15
1979,5BZBJ1246+0113,BLLac,191.5105,1.22189,0.386
1980,5BZQJ1246-0730,QSORLoudflatradiosp.,191.51763,-7.51294,1.286
1981,5BZQJ1246-2547,QSORLoudflatradiosp.,191.695,-25.79703,0.635
1982,5BZBJ1247+4423,BLLac,191.75304,44.38883,
1983,5BZQJ1247+1022,QSORLoudflatradiosp.,191.94725,10.37544,1.382
1984,5BZBJ1248+5820,BLLac,192.07825,58.34131,
1985,5BZQJ1248-0632,QSORLoudflatradiosp.,192.09575,-6.53606,0.762
1986,5BZBJ1248+0830,BLLac,192.10792,8.50583,0.43
1987,5BZQJ1248-4559,QSORLoudflatradiosp.,192.11875,-45.99644,1.02
1988,5BZBJ1248+5128,BLLac,192.14292,51.46886,0.351
1989,5BZBJ1249+3707,BLLac,192.44475,37.12992,
1990,5BZBJ1250+3155,BLLac,192.56479,31.93317,
1991,5BZBJ1250+0216,BLLac,192.63571,2.27558,0.959
1992,5BZQJ1251-1717,QSORLoudflatradiosp.,192.81033,-17.287,0.606
1993,5BZBJ1251+1039,BLLac,192.82454,10.65147,0.245
1994,5BZBJ1251-2958,BLLac,192.89537,-29.97858,0.382
1995,5BZQJ1251-3518,QSORLoudflatradiosp.,192.91346,-35.311,0.41
1996,5BZQJ1252+6451,QSORLoudflatradiosp.,193.09913,64.86056,0.312
1997,5BZBJ1252+0849,BLLac,193.14408,8.82889,0.37
1998,5BZBJ1252+2937,BLLac,193.14442,29.62572,0.528
1999,5BZQJ1252-3319,QSORLoudflatradiosp.,193.24333,-33.33322,0.856
2000,5BZBJ1253+3826,BLLac,193.25379,38.44056,0.371
2001,5BZBJ1253+5301,BLLac,193.29967,53.01992,
2002,5BZGJ1253-3931,BLLac-galaxydominated,193.42188,-39.53322,0.179
2003,5BZGJ1253+0326,BLLac-galaxydominated,193.44579,3.44169,0.066
2004,5BZBJ1253+6242,BLLac,193.49758,62.71589,
2005,5BZQJ1253-4059,QSORLoudflatradiosp.,193.49804,-40.99186,4.464
2006,5BZBJ1254+2211,BLLac,193.63863,22.18436,
2007,5BZQJ1254-2000,QSORLoudflatradiosp.,193.65521,-20.01569,0.959
2008,5BZQJ1254+1141,QSORLoudflatradiosp.,193.65983,11.68497,0.872
2009,5BZGJ1254-4424,BLLac-galaxydominated,193.73962,-44.41572,0.041
2010,5BZQJ1255+0340,QSORLoudflatradiosp.,193.75208,3.67864,0.437
2011,5BZQJ1255+1817,QSORLoudflatradiosp.,193.88229,18.29747,1.366
2012,5BZQJ1255+6124,QSORLoudflatradiosp.,193.93754,61.41414,2.055
2013,5BZBJ1255+3848,BLLac,193.98083,38.80314,0.56
2014,5BZQJ1256-0547,QSORLoudflatradiosp.,194.04654,-5.78931,0.536
2015,5BZGJ1256-1146,BLLac-galaxydominated,194.06646,-11.77703,0.058
2016,5BZUJ1256-2155,BlazarUncertaintype,194.10629,-21.92258,0.129
2017,5BZBJ1256+0609,BLLac,194.16396,6.15225,0.423
2018,5BZUJ1257+0024,BlazarUncertaintype,194.263,0.41,1.259
2019,5BZBJ1257+3647,BLLac,194.31908,36.78747,0.531
2020,5BZBJ1257+2412,BLLac,194.38304,24.21114,0.141
2021,5BZQJ1257+3229,QSORLoudflatradiosp.,194.48846,32.49147,0.805
2022,5BZQJ1257-3155,QSORLoudflatradiosp.,194.49608,-31.92136,1.924
2023,5BZBJ1258+6120,BLLac,194.58663,61.34597,0.224
2024,5BZQJ1258-1800,QSORLoudflatradiosp.,194.65958,-18.00086,1.956
2025,5BZBJ1258-0447,BLLacCandidate,194.70017,-4.79586,0.586
2026,5BZQJ1258-2219,QSORLoudflatradiosp.,194.727,-22.32531,1.303
2027,5BZBJ1258+0134,BLLac,194.7275,1.57817,
2028,5BZUJ1259-2310,BlazarUncertaintype,194.78525,-23.17742,0.481
2029,5BZQJ1259-2436,QSORLoudflatradiosp.,194.80263,-24.60153,2.263
2030,5BZBJ1300+1755,BLLac,195.0355,17.92711,
2031,5BZBJ1300+6344,BLLac,195.07321,63.7445,
2032,5BZQJ1300+1417,QSORLoudflatradiosp.,195.08712,14.28847,1.106
2033,5BZQJ1300+2830,QSORLoudflatradiosp.,195.11888,28.50283,0.649
2034,5BZBJ1300+5351,BLLac,195.13658,53.8535,
2035,5BZQJ1300+5029,QSORLoudflatradiosp.,195.17188,50.49356,1.561
2036,5BZQJ1300-3253,QSORLoudflatradiosp.,195.17688,-32.88669,1.256
2037,5BZUJ1301-3226,BlazarUncertaintype,195.25333,-32.44128,0.017
2038,5BZQJ1301+3337,QSORLoudflatradiosp.,195.37146,33.61675,1.009
2039,5BZGJ1301+4634,BLLac-galaxydominated,195.38592,46.56744,0.205
2040,5BZBJ1301+4056,BLLac,195.44017,40.94017,
2041,5BZBJ1301+4416,BLLac,195.44296,44.27206,
2042,5BZQJ1302+4819,QSORLoudflatradiosp.,195.57167,48.32156,0.874
2043,5BZUJ1302+5748,BlazarUncertaintype,195.71863,57.81044,1.088
2044,5BZBJ1302+5056,BLLac,195.73058,50.93842,
2045,5BZBJ1303+2433,BLLac,195.76346,24.5655,
2046,5BZUJ1303-1051,BlazarUncertaintype,195.80779,-10.85475,
2047,5BZQJ1303-4621,QSORLoudflatradiosp.,195.91783,-46.35064,1.664
2048,5BZBJ1304-4353,BLLac,196.0875,-43.88617,
2049,5BZQJ1304-0346,QSORLoudflatradiosp.,196.18192,-3.76733,1.25
2050,5BZBJ1305+7854,BLLacCandidate,196.25021,78.90989,
2051,5BZBJ1305+3855,BLLac,196.38021,38.92275,0.376
2052,5BZQJ1305-1033,QSORLoudflatradiosp.,196.38758,-10.55539,0.286
2053,5BZQJ1306+5529,QSORLoudflatradiosp.,196.51396,55.49553,1.601
2054,5BZQJ1306+4741,QSORLoudflatradiosp.,196.62479,47.69236,2.523
2055,5BZQJ1307-3207,QSORLoudflatradiosp.,196.81321,-32.13292,1.211
2056,5BZBJ1307-4259,BLLac,196.90821,-42.99414,
2057,5BZQJ1308+3546,QSORLoudflatradiosp.,197.09879,35.777,1.055
2058,5BZQJ1308+4729,QSORLoudflatradiosp.,197.21388,47.49858,0.884
2059,5BZQJ1309+5557,QSORLoudflatradiosp.,197.29063,55.96064,1.629
2060,5BZBJ1309+4305,BLLac,197.35638,43.08489,
2061,5BZBJ1309+1154,BLLac,197.39138,11.90683,
2062,5BZQJ1309-3948,QSORLoudflatradiosp.,197.452,-39.80919,1.828
2063,5BZBJ1310-1157,BLLacCandidate,197.55204,-11.96289,0.14
2064,5BZQJ1310+0044,QSORLoudflatradiosp.,197.61875,0.73581,1.601
2065,5BZUJ1310+3220,BlazarUncertaintype,197.61942,32.3455,0.997
2066,5BZQJ1310+4653,QSORLoudflatradiosp.,197.72329,46.89783,0.972
2067,5BZQJ1310+3233,QSORLoudflatradiosp.,197.7475,32.55956,1.639
2068,5BZQJ1311+5513,QSORLoudflatradiosp.,197.76338,55.23175,0.925
2069,5BZBJ1311+0035,BLLac,197.77696,0.58611,
2070,5BZQJ1311+1417,QSORLoudflatradiosp.,197.78258,14.29628,1.947
2071,5BZBJ1311+3953,BLLac,197.94179,39.88819,
2072,5BZBJ1311+0853,BLLac,197.98233,8.89472,0.469
2073,5BZQJ1312+4809,QSORLoudflatradiosp.,198.04642,48.15703,0.715
2074,5BZQJ1312+3515,QSORLoudflatradiosp.,198.07396,35.25586,0.184
2075,5BZBJ1312-2156,BLLac,198.1315,-21.93983,1.491
2076,5BZUJ1312+4828,BlazarUncertaintype,198.18062,48.47525,0.501
2077,5BZQJ1312-0424,QSORLoudflatradiosp.,198.21208,-4.41386,0.825
2078,5BZBJ1313+0201,BLLac,198.3755,2.01831,0.356
2079,5BZQJ1313+1027,QSORLoudflatradiosp.,198.42354,10.454,2.912
2080,5BZQJ1314-3303,QSORLoudflatradiosp.,198.51487,-33.06525,0.484
2081,5BZBJ1314+2348,BLLac,198.68254,23.80744,
2082,5BZGJ1315-4236,BLLac-galaxydominated,198.76413,-42.61381,0.105
2083,5BZUJ1315-5334,BlazarUncertaintype,198.76738,-53.57661,
2084,5BZQJ1315+2840,QSORLoudflatradiosp.,198.80621,28.68158,1.576
2085,5BZQJ1316-3338,QSORLoudflatradiosp.,199.03329,-33.64978,1.21
2086,5BZQJ1316-3025,QSORLoudflatradiosp.,199.13742,-30.42558,1.334
2087,5BZQJ1317+3425,QSORLoudflatradiosp.,199.40204,34.42108,1.055
2088,5BZQJ1318-0607,QSORLoudflatradiosp.,199.64046,-6.12328,2.734
2089,5BZQJ1319-1217,QSORLoudflatradiosp.,199.80038,-12.29222,0.86
